Numero;Tensao (p.u.);Angulo (graus);Carga Ativa (MW);Carga Reativa (Mvar);Geracao Ativa (MW);Geracao Reativa (Mvar);Shunt (Mvar)
0;1,06;0,00;0,00;0,00;232,39;-16,55;0,00
1;1,05;-4,98;21,70;12,70;40,00;43,56;0,00
2;1,01;-12,73;94,20;19,00;0,00;25,08;0,00
3;1,02;-10,31;47,80;-3,90;0,00;0,00;0,00
4;1,02;-8,77;7,60;1,60;0,00;0,00;0,00
5;1,07;-14,22;11,20;7,50;0,00;12,73;0,00
6;1,06;-13,36;0,00;0,00;0,00;0,00;0,00
7;1,09;-13,36;0,00;0,00;0,00;17,62;0,00
8;1,06;-14,94;29,50;16,60;0,00;0,00;21,18
9;1,05;-15,10;9,00;5,80;0,00;0,00;0,00
10;1,06;-14,79;3,50;1,80;0,00;0,00;0,00
11;1,06;-15,08;6,10;1,60;0,00;0,00;0,00
12;1,05;-15,16;13,50;5,80;0,00;0,00;0,00
13;1,04;-16,03;14,90;5,00;0,00;0,00;0,00
